model,dataset,K,seed,device,phase,prep_seconds,umap_seconds,train_seconds,total_seconds,prep_minutes,umap_minutes,train_minutes,total_minutes,mode,embedding_dim_before,embedding_dim_after,umap_enabled,umap_n_neighbors,umap_cache_hit
Fast_topic_avec_UMAP,20NG,20,42,cuda,train,93.13060507399996,71.871096894,185.95852398799997,279.450022822,1.5521767512333327,1.1978516149,3.099308733133333,4.657500380366667,text,384,64,True,15,False
Fast_topic_avec_UMAP,20NG,50,42,cuda,train,0.0,0.0,187.71786867699996,187.76624696099998,0.0,0.0,3.128631144616666,3.1294374493499997,text,384,64,True,15,True
Fast_topic_avec_UMAP,20NG,100,42,cuda,train,0.0,0.0,187.83055641800001,187.91020198599995,0.0,0.0,3.1305092736333338,3.131836699766666,text,384,64,True,15,True
Fast_topic_avec_UMAP,AGNews,20,42,cuda,train,48.894628682000075,48.69575087499993,160.67906322099998,209.6743932290001,0.8149104780333346,0.8115958479166655,2.677984387016666,3.4945732204833346,bow_avg,200,64,True,15,False
Fast_topic_avec_UMAP,AGNews,50,42,cuda,train,0.0,0.0,158.89742499699992,158.93355766700006,0.0,0.0,2.6482904166166654,2.6488926277833342,bow_avg,200,64,True,15,True
Fast_topic_avec_UMAP,AGNews,100,42,cuda,train,0.0,0.0,158.7839111840001,158.84043070000007,0.0,0.0,2.6463985197333346,2.647340511666668,bow_avg,200,64,True,15,True
Fast_topic_avec_UMAP,IMDB,20,42,cuda,train,137.94659229299987,94.72068674399998,289.974730917,428.68342217300005,2.2991098715499976,1.5786781123999996,4.832912181949999,7.144723702883335,text,384,64,True,15,False
Fast_topic_avec_UMAP,IMDB,50,42,cuda,train,0.0,0.0,291.85852200299996,291.9562023599999,0.0,0.0,4.86430870005,4.8659367059999985,text,384,64,True,15,True
Fast_topic_avec_UMAP,IMDB,100,42,cuda,train,0.0,0.0,289.844703104,290.03858999600016,0.0,0.0,4.8307450517333335,4.833976499933336,text,384,64,True,15,True
Fast_topic_avec_UMAP,YahooAnswer,20,42,cuda,train,55.437508654999874,55.25741325600029,157.41713683900025,212.99602357499998,0.9239584775833313,0.9209568876000048,2.623618947316671,3.5499337262499995,bow_avg,200,64,True,15,False
Fast_topic_avec_UMAP,YahooAnswer,50,42,cuda,train,0.0,0.0,156.4827366909999,156.52270614400004,0.0,0.0,2.608045611516665,2.6087117690666672,bow_avg,200,64,True,15,True
Fast_topic_avec_UMAP,YahooAnswer,100,42,cuda,train,0.0,0.0,157.21595419899995,157.28402642400033,0.0,0.0,2.6202659033166658,2.6214004404000053,bow_avg,200,64,True,15,True
